"Date Time",Symbol,Open,High,Low,Close,Volume,ZL,MA
"2021-08-25 09:30:00",TSLA,235.6767,238,234.6667,237.33,4335228,62.965102040816326,29.635379812695113
"2021-08-25 09:45:00",TSLA,237.31,237.51,235.7367,236.0133,2294436,112.43431574344022,56.27026941022456
"2021-08-25 10:00:00",TSLA,236.0667,236.63,235.6,236.1216,1564923,151.32979691795083,80.34093566816563
"2021-08-25 10:15:00",TSLA,236.1667,238.3333,236.1667,237.3833,3684549,181.97125049681677,102.21185864449839
"2021-08-25 10:30:00",TSLA,237.3833,237.5966,236.45,236.8268,1457478,205.46655413645675,121.8448992152766
"2021-08-25 10:45:00",TSLA,236.8017,237.0213,236.3333,236.8233,970725,223.3674863178972,139.5045191145101
"2021-08-25 11:00:00",TSLA,236.8,237.5296,236.62,236.68,1245690,236.75578166920246,155.3461626720515
"2021-08-25 11:15:00",TSLA,236.6708,236.9167,236.4167,236.8333,620403,246.63120515854513,169.5673422570714
"2021-08-25 11:30:00",TSLA,236.8333,237.2393,236.35,236.6367,917229,253.6345019025816,182.26815793030084
"2021-08-25 11:45:00",TSLA,236.6533,237.14,236.6,236.62,707226,258.42845661447416,193.60723821070115
"2021-08-25 12:00:00",TSLA,236.6,237.25,236.4933,236.76,700308,261.54261810454875,203.72692349995603
"2021-08-25 12:15:00",TSLA,236.71,236.8333,236.4,236.705,572811,263.3102139318577,212.71359117348726
"2021-08-25 12:30:00",TSLA,236.6733,237.6667,236.59,237.3667,1246578,264.241445275761,220.7605809224423
"2021-08-25 12:45:00",TSLA,237.3667,237.643,236.9616,237.581,1141494,264.43400615545,227.89862343563834
"2021-08-25 13:00:00",TSLA,237.57,237.8667,237.1618,237.5333,1074681,264.0148038189878,234.17968405983743
"2021-08-25 13:15:00",TSLA,237.4933,237.6567,237.1967,237.276,673047,263.0981163101791,239.6582589284244
"2021-08-25 13:30:00",TSLA,237.32,238.8981,237.25,238.6333,2432343,262.25774964431594,244.61229475440564
"2021-08-25 13:45:00",TSLA,238.6548,238.99,238.0833,238.3633,1526949,261.08657312155293,248.8891190526706
"2021-08-25 14:00:00",TSLA,238.4167,238.6233,238.1067,238.2567,970755,259.7340950003076,252.57477353615667
"2021-08-25 14:15:00",TSLA,238.29,238.4533,237.69,238.03,845085,258.241978523468,255.71229604028483
"2021-08-25 14:30:00",TSLA,238.0333,238.6484,237.9967,238.5767,652674,256.87828318286205,258.4527031597548
"2021-08-25 14:45:00",TSLA,238.5417,238.6133,238.3367,238.5067,577170,255.48431143909312,260.75944444470304
"2021-08-25 15:00:00",TSLA,238.47,238.5333,237.5894,237.7467,1258584,253.9120544143018,262.5906186828536
"2021-08-25 15:15:00",TSLA,237.758,237.85,237.33,237.6367,818625,252.39783793865308,264.0759900247403
"2021-08-25 15:30:00",TSLA,237.62,237.75,236.7433,237.2178,1166760,250.8729679169794,265.2135260688899
